ano,parlamentar,favorecido_consulta,cnpj_consulta,tipo_favorecido,funcao,subfuncao,fase,valor,data,documento
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,EMPENHADO,520873.65,09/03/2026,157241152532026NE790240
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,PAGO,305329.13,18/03/2026,157241152532026OB000834
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,EMPENHADO,236010.09,08/07/2026,153173152532026NE630668
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,EMPENHADO,232953.16,29/07/2026,157241152532026NE791320
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,PAGO,199415.54,16/04/2026,157241152532026OB001082
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,EMPENHADO,179500.0,22/05/2026,157241152532026NE790931
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,PAGO,178940.42,02/06/2026,157241152532026OB001593
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,EMPENHADO,174365.46,11/03/2026,153173152532026NE650560
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,155463.74,07/04/2026,785344000012026NE000095
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,155463.74,30/04/2026,785344000012026OB000198
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,EMPENHADO,145600.07,01/07/2026,157241152532026NE791236
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,127014.99,27/01/2026,785344000012026NE000001
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,127014.99,11/02/2026,785344000012026OB000083
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,89832.99,26/06/2026,785344000012026NE000291
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,89832.99,23/07/2026,785344000012026OB000348
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,77231.78,02/03/2026,120073000012026NE000194
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,77231.78,14/04/2026,120073000012026OB000567
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,74744.75,03/06/2026,785344000012026NE000212
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,74744.75,28/07/2026,785344000012026OB000358
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,72799.78,19/02/2026,785344000012026NE000027
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,72799.78,06/03/2026,785344000012026OB000114
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,67652.82,15/07/2026,120073000012026NE000300
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,67652.82,07/05/2026,120073000012026OB000752
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,EMPENHADO,66264.57,11/03/2026,153173152532026NE650559
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,40632.57,27/01/2026,785344000012026NE000002
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,40632.57,11/02/2026,785344000012026OB000082
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,39116.84,03/07/2026,120073000012026OB001313
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,26736.76,12/05/2026,785344000012026NE000170
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,26736.76,01/06/2026,785344000012026OB000261
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,PAGO,16128.98,26/05/2026,157241152532026OB001479
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,5941.52,11/06/2026,120073000012026OB001017
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,363 - Ensino profissional,EMPENHADO,3895.76,10/03/2026,158516264382026NE000606
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,04 - Administração,122 - Administração geral,EMPENHADO,3722.45,11/05/2026,170156000012026NE000264
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,2421.5,29/01/2026,120073000012026OB000050
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,PAGO,1621.0,11/02/2026,510181572022026OB004660
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,PAGO,1621.0,11/03/2026,510181572022026OB007115
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,PAGO,1621.0,07/04/2026,510181572022026OB011796
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,PAGO,1621.0,15/05/2026,510181572022026OB021972
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,PAGO,1621.0,12/06/2026,510181572022026OB029375
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,PAGO,1621.0,13/07/2026,510181572022026OB034205
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,PAGO,1518.0,27/01/2026,510181572022026OB001144
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,PAGO,559.58,10/07/2026,157241152532026OB001938
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,363 - Ensino profissional,EMPENHADO,559.0,14/01/2026,158516264382026NE000041
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,363 - Ensino profissional,EMPENHADO,500.0,21/01/2026,158516264382026NE000080
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,474.44,11/06/2026,120073000012026OB001021
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,445.8,30/04/2026,785344000012026OB000200
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,20 - Agricultura,122 - Administração geral,PAGO,151.64,14/04/2026,130072000012026OB000177
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,132.25,24/06/2026,193125192112026OB000458
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,132.25,17/07/2026,193125192112026OB000523
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,121.91,26/03/2026,193125192112026OB000142
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,121.91,30/03/2026,193125192112026OB000171
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,121.91,30/03/2026,193125192112026OB000182
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,121.91,08/05/2026,193125192112026OB000289
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,121.91,10/06/2026,193125192112026OB000394
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,114.06,20/05/2026,193125192112026OB000333
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,114.06,11/06/2026,193125192112026OB000401
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,114.06,19/06/2026,193125192112026OB000443
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,114.06,15/07/2026,193125192112026OB000515
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,106.08,20/03/2026,193125192112026OB000116
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,106.08,09/04/2026,193125192112026OB000215
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,102.54,30/03/2026,193125192112026OB000178
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,41.33,17/06/2026,193125192112026OB000423
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,31.87,24/04/2026,193125192112026OB000246
