codigoPessoa;nomePessoa;tipoPessoa;municipioPessoa;siglaUFPessoa
04.700.714/0001-63;APM TERMINALS ITAJAI S.A.;Entidades Empresariais Privadas;ITAJAÍ;SC
04.643.059/0001-59;APP DO CENTRO MUNICIPAL DE EDUCACAO ALTERNATIVA DE ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC
10.405.291/0001-51;ASSOCIACAO CULTURAL E EDUCATIVA DE TELEVISAO COMUNITARIA DE ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC
44.342.683/0001-30;ATLANTICA HOTELS INTERNATIONAL (BRASIL) LTDA SCP - HILTON GARDEN INN RIVIERA ITAJAI;Entidades Empresariais Privadas;ITAJAÍ;SC
04.856.713/0001-02;CLINICA DE ESPORTE ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
80.655.525/0001-02;CLINMEDI - CLINICA MEDICA ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
09.333.052/0001-54;COOPERATIVA DE PRODUTORES RURAIS DE ITAJAI COOPERAR;Entidades Empresariais Privadas;ITAJAÍ;SC
85.789.782/0002-23;COOPERATIVA REGIONAL AGROPECUARIA VALE DO ITAJAI;Entidades Empresariais Privadas;ITAJAÍ;SC
785344;DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI;Agentes Intermediários;ITAJAÍ;SC
02.362.976/0001-30;FUNDACAO CULTURAL DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC
01.406.705/0001-76;FUNDACAO CULTURAL E EDUCACIONAL DE ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC
84.307.974/0001-02;FUNDACAO UNIVERSIDADE DO VALE DO ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC
84.307.974/0018-50;FUNDACAO UNIVERSIDADE DO VALE DO ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC
01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC
15.537.180/0001-12;FUNDO MUNICIPAL DE ATENDIMENTO A CRIANCA E AO ADOLESCENTE DE ITAJAI;Administração Pública;ITAJAÍ;SC
08.259.606/0001-58;FUNDO MUNICIPAL DE SAUDE DE ITAJAI;Administração Pública;ITAJAÍ;SC
18.487.144/0001-80;I.G.I. INDUSTRIA DE GASES ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
03.842.931/0001-25;INSTITUTO ITAJAI SUSTENTAVEL - INIS;Administração Pública Municipal;ITAJAÍ;SC
30.970.802/0001-95;ITAJAI AUTO ELETRICA E BATERIAS LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
17.733.888/0001-74;ITAJAI DISTRIBUIDORA DE ROLAMENTOS LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC
31.825.156/0001-35;NAUTICA ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
84.305.275/0001-23;OBRAS SOCIAIS E CULTURAIS CONCEICAO DE ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC
84.290.626/0001-70;OCIL ORGANIZACAO CONTABIL ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
03.427.893/0001-44;PERSIANAS ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
18.458.779/0001-59;PORTO ESPORTIVO ITAJAI S.A.;Entidades Empresariais Privadas;ITAJAÍ;SC
84.291.137/0001-32;RADIO DIFUSORA ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
82.645.011/0001-93;SOCIEDADE RADIO DIFUSORA VALE DO ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC
76.368.240/0001-05;TV VALE DO ITAJAI LIMITADA;Entidades Empresariais Privadas;ITAJAÍ;SC
