codigo_emenda;ano_emenda;codigo_autor;parlamentar;cnpj_beneficiario;beneficiario;tipo_beneficiario;municipio;uf;data;fase_codigo;fase;documento;documento_resumido;valor;funcao;subfuncao;programa;acao;subtitulo;localizador_gasto;plano_orcamentario;orgao;orgao_superior;unidade_gestora;unidade_orcamentaria;processo;observacao;categoria;grupo;elemento;modalidade
202650490001;2026;5049;COM. DE PREVI., ASSIS. SOCI, INFAN., ADOL. E FAMIL;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;26/06/2026;2;Liquidação;330013000012026NS015621;2026NS015621;0,0;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;;PAGAMENTO DA PROGRAMACAO N 420820320260001, REFERENTE A ESTRUTURACAO DA REDE DE SERVICOS DO SUAS CUSTEIO - EMENDA DE COMISSAO - ITAJAI-SC - 71000040199202602 - AUTOR EMENDA DE COMISSAO, EMENDA 202650490001;3 - DESPESAS CORRENTES;3 - Outras Despesas Correntes;41 - Contribuições;41 - Transferências a Municípios - Fundo a Fundo
202650490001;2026;5049;COM. DE PREVI., ASSIS. SOCI, INFAN., ADOL. E FAMIL;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;26/06/2026;2;Liquidação;330013000012026NS015623;2026NS015623;0,0;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;;PAGAMENTO DA PROGRAMACAO N 420820320260002, REFERENTE A ESTRUTURACAO DA REDE DE SERVICOS DO SUAS CUSTEIO - EMENDA DE COMISSAO - ITAJAI-SC - 71000040210202626 - AUTOR EMENDA DE COMISSAO, EMENDA 202650490001;3 - DESPESAS CORRENTES;3 - Outras Despesas Correntes;41 - Contribuições;41 - Transferências a Municípios - Fundo a Fundo
202650490001;2026;5049;COM. DE PREVI., ASSIS. SOCI, INFAN., ADOL. E FAMIL;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;29/06/2026;3;Pagamento;330013000012026OB007611;2026OB007611;10,0;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;71000040199202602;PAGAMENTO DA PROGRAMACAO N 420820320260001, REFERENTE A ESTRUTURACAO DA REDE DE SERVICOS DO SUAS CUSTEIO - EMENDA DE COMISSAO - ITAJAI-SC - 71000040199202602 - AUTOR EMENDA DE COMISSAO, EMENDA 202650490001;3 - DESPESAS CORRENTES;3 - Outras Despesas Correntes;41 - Contribuições;41 - Transferências a Municípios - Fundo a Fundo
202650490001;2026;5049;COM. DE PREVI., ASSIS. SOCI, INFAN., ADOL. E FAMIL;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;29/06/2026;3;Pagamento;330013000012026OB007598;2026OB007598;25,0;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;71000040210202626;PAGAMENTO DA PROGRAMACAO N 420820320260002, REFERENTE A ESTRUTURACAO DA REDE DE SERVICOS DO SUAS CUSTEIO - EMENDA DE COMISSAO - ITAJAI-SC - 71000040210202626 - AUTOR EMENDA DE COMISSAO, EMENDA 202650490001;3 - DESPESAS CORRENTES;3 - Outras Despesas Correntes;41 - Contribuições;41 - Transferências a Municípios - Fundo a Fundo
202539490006;2025;3949;DANIEL FREITAS;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;02/09/2025;1;Empenho;170860000012025NE001382;2025NE001382;99,0;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;COORD.-GERAL DE TRANSFE. INTERGOVERNAMENTAIS;RECURSOS SOB SUPERVISAO DO MF;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202539490006-DANIEL FREITAS AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;4 - DESPESAS DE CAPITAL;4 - Investimentos;41 - Contribuições;40 - Transferências a Municípios
202542730001;2025;4273;JORGE SEIF;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;02/09/2025;1;Empenho;170860000012025NE000387;2025NE000387;495000,0;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;COORD.-GERAL DE TRANSFE. INTERGOVERNAMENTAIS;RECURSOS SOB SUPERVISAO DO MF;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202542730001-JORGE SEIF AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;4 - DESPESAS DE CAPITAL;4 - Investimentos;41 - Contribuições;40 - Transferências a Municípios
202542730010;2025;4273;JORGE SEIF;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;29/07/2025;1;Empenho;330013000012025NE402555;2025NE402555;10,0;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;71000073673202593;EMPENHO DA PROGRAMACAO N. 420820320250002, REFERENTE A EMENDA INDIVIDUAL N. 202542730010 - AUTOR - JORGE SEIF PROCESSO N. 71000073673202593 - ENTE - ITAJAI-SC;3 - DESPESAS CORRENTES;3 - Outras Despesas Correntes;41 - Contribuições;41 - Transferências a Municípios - Fundo a Fundo
202542730010;2025;4273;JORGE SEIF;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;05/12/2025;2;Liquidação;330013000012025NS020895;2025NS020895;0,0;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;;PAGAMENTO DA PROGRAMACAO N 420820320250002, REFERENTE A ESTRUTURASUAS CUSTEIO - GND3 - A PARTIR DE 2025 - ITAJAI-SC - 71000073673202593 - AUTOR JORGE SEIF, EMENDA 202542730010;3 - DESPESAS CORRENTES;3 - Outras Despesas Correntes;41 - Contribuições;41 - Transferências a Municípios - Fundo a Fundo
202542730010;2025;4273;JORGE SEIF;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;08/12/2025;3;Pagamento;330013000012025OB009228;2025OB009228;10,0;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;71000073673202593;PAGAMENTO DA PROGRAMACAO N 420820320250002, REFERENTE A ESTRUTURASUAS CUSTEIO - GND3 - A PARTIR DE 2025 - ITAJAI-SC - 71000073673202593 - AUTOR JORGE SEIF, EMENDA 202542730010;3 - DESPESAS CORRENTES;3 - Outras Despesas Correntes;41 - Contribuições;41 - Transferências a Municípios - Fundo a Fundo
202571260001;2025;7126;BANCADA DE SANTA CATARINA;08.259.606/0001-58;FUNDO MUNICIPAL DE SAUDE DE ITAJAI;Administração Pública;ITAJAÍ;SC;30/09/2025;1;Empenho;257001000012025NE489633;2025NE489633;50,0;10 - Saúde;302 - Assistência hospitalar e ambulatorial;5118 - ATENCAO ESPECIALIZADA A SAUDE;2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS;2E900042 - INCREMENTO TEMPORARIO AO CUSTEIO DOS  - NO ESTADO DE SANTA C;0042 - INCREMENTO TEMPORARIO AO CUSTEIO DOS  - NO ESTADO DE SANTA C;0000 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS;Ministério da Saúde - Unidades com vínculo direto;Ministério da Saúde;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;FUNDO NACIONAL DE SAUDE;-8;EMPENHO PARA ATENDER A PORTARIA 8267 DE 30/09/2025 - PROPOSTA 36000703839202500 - EMENDA 202571260001 DE BANCADA DE SANTA CATARINA - CNES 6539858 - SOLICITANTE: 7126;3 - DESPESAS CORRENTES;3 - Outras Despesas Correntes;41 - Contribuições;41 - Transferências a Municípios - Fundo a Fundo
