codigo_emenda;ano_emenda;codigo_autor;parlamentar;cnpj_beneficiario;beneficiario;tipo_beneficiario;municipio;uf;valor_empenhado;valor_liquidado;valor_pago;primeira_data;ultima_data;funcao;subfuncao;programa;acao;subtitulo;localizador_gasto;orgao;orgao_superior;processo;observacao;percentual_pago;saldo_empenhado_nao_pago
202650490001;2026;5049;COM. DE PREVI., ASSIS. SOCI, INFAN., ADOL. E FAMIL;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;0,0;0,0;35,0;26/06/2026;29/06/2026;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;0001 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NACIONAL;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;;PAGAMENTO DA PROGRAMACAO N 420820320260002, REFERENTE A ESTRUTURACAO DA REDE DE SERVICOS DO SUAS CUSTEIO - EMENDA DE COMISSAO - ITAJAI-SC - 71000040210202626 - AUTOR EMENDA DE COMISSAO, EMENDA 202650490001;0,0;-35,0
202590550001;2025;9055;GILSON MARQUES;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;20,0;0,0;20,0;29/07/2025;08/12/2025;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;71000073672202549;EMPENHO DA PROGRAMACAO N. 420820320250001, REFERENTE A EMENDA INDIVIDUAL N. 202590550001 - AUTOR - GILSON MARQUES PROCESSO N. 71000073672202549 - ENTE - ITAJAI-SC;100,0;0,0
202542730010;2025;4273;JORGE SEIF;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;10,0;0,0;10,0;29/07/2025;08/12/2025;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;0042 - ESTRUTURACAO DA REDE DE SERVICOS E FO - NO ESTADO DE SANTA C;Fundo Nacional de Assistência Social;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;71000073673202593;EMPENHO DA PROGRAMACAO N. 420820320250002, REFERENTE A EMENDA INDIVIDUAL N. 202542730010 - AUTOR - JORGE SEIF PROCESSO N. 71000073673202593 - ENTE - ITAJAI-SC;100,0;0,0
202571260002;2025;7126;BANCADA DE SANTA CATARINA;08.259.606/0001-58;FUNDO MUNICIPAL DE SAUDE DE ITAJAI;Administração Pública;ITAJAÍ;SC;917006,0;0,0;0,0;23/09/2025;23/09/2025;10 - Saúde;301 - Atenção básica;5119 - ATENCAO PRIMARIA A SAUDE;2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;2E890042 - INCREMENTO TEMPORARIO AO CUSTEIO DOS  - NO ESTADO DE SANTA C;0042 - INCREMENTO TEMPORARIO AO CUSTEIO DOS  - NO ESTADO DE SANTA C;Ministério da Saúde - Unidades com vínculo direto;Ministério da Saúde;-8;EMPENHO PARA ATENDER A PORTARIA 8108 DE 16/09/2025 - PROPOSTA 36000703866202500 - EMENDA 202571260002 DE BANCADA DE SANTA CATARINA - SOLICITANTE: 7126;0,0;917006,0
202571260001;2025;7126;BANCADA DE SANTA CATARINA;08.259.606/0001-58;FUNDO MUNICIPAL DE SAUDE DE ITAJAI;Administração Pública;ITAJAÍ;SC;754848,0;0,0;0,0;30/09/2025;09/10/2025;10 - Saúde;302 - Assistência hospitalar e ambulatorial;5118 - ATENCAO ESPECIALIZADA A SAUDE;2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS;2E900042 - INCREMENTO TEMPORARIO AO CUSTEIO DOS  - NO ESTADO DE SANTA C;0042 - INCREMENTO TEMPORARIO AO CUSTEIO DOS  - NO ESTADO DE SANTA C;Ministério da Saúde - Unidades com vínculo direto;Ministério da Saúde;-8;EMPENHO PARA ATENDER A PORTARIA 8267 DE 30/09/2025 - PROPOSTA 36000703839202500 - EMENDA 202571260001 DE BANCADA DE SANTA CATARINA - CNES 6539858 - SOLICITANTE: 7126;0,0;754848,0
202542730001;2025;4273;JORGE SEIF;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;495000,0;0,0;0,0;02/09/2025;02/09/2025;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202542730001-JORGE SEIF AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;495000,0
202539490006;2025;3949;DANIEL FREITAS;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;99,0;0,0;0,0;02/09/2025;02/09/2025;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202539490006-DANIEL FREITAS AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;99,0
202439290001;2024;3929;CARLOS CHIODINI;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;1100000,0;0,0;0,0;26/06/2024;26/06/2024;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202439290001-CARLOS CHIODINI AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;1100000,0
202439490003;2024;3949;DANIEL FREITAS;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;1005585,0;0,0;0,0;26/06/2024;26/06/2024;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202439490003-DANIEL FREITAS AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;1005585,0
202442090002;2024;4209;JORGE GOETTEN;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;300000,0;0,0;0,0;26/06/2024;26/06/2024;28 - Encargos especiais;845 - Outras transferências;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0EC20042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;0042 - TRANSFERENCIAS ESPECIAIS              - NO ESTADO DE SANTA C;Ministério da Fazenda - Unidades com vínculo direto;Ministério da Fazenda;-8;TRANSFERENCIA ESPECIAL REFERENTE A EMENDA 202442090002-JORGE GOETTEN AO ENTE 83102277000152 - MUNICIPIO DE ITAJAI;0,0;300000,0
