parlamentar,valor_empenhado,valor_liquidado,valor_pago,quantidade_documentos
0000,15128100.94,0.0,11461065.23,767
4273 - JORGE SEIF,5270000.0,0.0,495000.0,4
4493 - ZE TROVAO,2985000.0,0.0,2985000.0,6
8100 - RELATOR GERAL,2070586.86,0.0,91064.35999999999,16
3949 - DANIEL FREITAS,1995585.0,0.0,1995585.0,6
3929 - CARLOS CHIODINI,1720000.0,0.0,1699368.1099999999,9
6011 - COM. DESENV REGIONAL E TURISMO,950418.81,0.0,0.0,1
9055 - GILSON MARQUES,700000.0,0.0,1046890.92,6
4251 - IVETE DA SILVEIRA,600000.0,0.0,500010.0,12
3980 - FABIO SCHIOCHET,578000.0,0.0,578000.0,3
3786 - DARIO BERGER,500000.0,0.0,775294.12,5
2856 - ROGERIO PENINHA MENDONCA,500000.0,0.0,500000.0,3
4209 - JORGE GOETTEN,300000.0,0.0,30.0,3
4392 - ISMAEL,297000.0,0.0,297000.0,3
1880 - ANGELA AMIN,250000.0,0.0,250000.0,3
2925 - CARMEN ZANOTTO,200000.0,0.0,200000.0,3
5006 - COM. ESPORTE,200000.0,0.0,0.0,1
2210 - ESPERIDIAO AMIN,200000.0,0.0,200000.0,3
3235 - GEOVANIA DE SA,199000.0,0.0,166989.28,3
4339 - DANIELA REINEHR,100000.0,0.0,10.0,3
