ano,parlamentar,valor_empenhado,valor_liquidado,valor_pago
2026,4273 - JORGE SEIF,4775000.0,0.0,0.0
2026,4493 - ZE TROVAO,2985000.0,0.0,2985000.0
2026,0000,2296379.65,0.0,1494039.28
2026,8100 - RELATOR GERAL,1912356.0,0.0,0.0
2026,3235 - GEOVANIA DE SA,199000.0,0.0,166989.28
2025,0000,1666007.5799999998,0.0,1875249.17
2025,3949 - DANIEL FREITAS,990000.0,0.0,990000.0
2025,6011 - COM. DESENV REGIONAL E TURISMO,950418.81,0.0,0.0
2025,4273 - JORGE SEIF,495000.0,0.0,495000.0
2025,4392 - ISMAEL,297000.0,0.0,297000.0
2025,3929 - CARLOS CHIODINI,0.0,0.0,418949.38
2025,9055 - GILSON MARQUES,0.0,0.0,698995.92
2024,0000,4438529.98,0.0,1740854.45
2024,3929 - CARLOS CHIODINI,1520000.0,0.0,1100000.0
2024,3949 - DANIEL FREITAS,1005585.0,0.0,1005585.0
2024,9055 - GILSON MARQUES,700000.0,0.0,0.0
2024,4251 - IVETE DA SILVEIRA,600000.0,0.0,500010.0
2024,4209 - JORGE GOETTEN,300000.0,0.0,30.0
2024,2925 - CARMEN ZANOTTO,200000.0,0.0,200000.0
2024,5006 - COM. ESPORTE,200000.0,0.0,0.0
2024,4339 - DANIELA REINEHR,100000.0,0.0,10.0
2024,8100 - RELATOR GERAL,58230.86,0.0,0.0
2023,0000,1690707.77,0.0,1061157.35
2023,1880 - ANGELA AMIN,250000.0,0.0,250000.0
2023,8100 - RELATOR GERAL,0.0,0.0,0.0
2023,9055 - GILSON MARQUES,0.0,0.0,0.0
2022,0000,852401.9400000001,0.0,961690.56
2022,3980 - FABIO SCHIOCHET,0.0,0.0,578000.0
2022,8100 - RELATOR GERAL,0.0,0.0,0.0
2022,9055 - GILSON MARQUES,0.0,0.0,347895.0
2021,0000,1758952.73,0.0,2185306.69
2021,2856 - ROGERIO PENINHA MENDONCA,500000.0,0.0,500000.0
2021,3786 - DARIO BERGER,500000.0,0.0,500000.0
2021,2210 - ESPERIDIAO AMIN,0.0,0.0,200000.0
2021,3929 - CARLOS CHIODINI,0.0,0.0,180418.73
2021,8100 - RELATOR GERAL,0.0,0.0,89763.56
2020,0000,2425121.29,0.0,2142767.73
2020,3980 - FABIO SCHIOCHET,578000.0,0.0,0.0
2020,2210 - ESPERIDIAO AMIN,200000.0,0.0,0.0
2020,3929 - CARLOS CHIODINI,200000.0,0.0,0.0
2020,8100 - RELATOR GERAL,100000.0,0.0,1300.8
2020,3786 - DARIO BERGER,0.0,0.0,275294.12
