ano_emenda;parlamentar;quantidade_emendas;quantidade_beneficiarios;valor_empenhado;valor_liquidado;valor_pago
2026;COM. DE PREVI., ASSIS. SOCI, INFAN., ADOL. E FAMIL;1;1;0,0;0,0;35,0
2025;GILSON MARQUES;1;1;20,0;0,0;20,0
2025;JORGE SEIF;2;2;495010,0;0,0;10,0
2025;BANCADA DE SANTA CATARINA;2;1;1671854,0;0,0;0,0
2025;DANIEL FREITAS;1;1;99,0;0,0;0,0
2024;BANCADA DE SANTA CATARINA;1;1;63,0;0,0;0,0
2024;CARLOS CHIODINI;1;1;1100000,0;0,0;0,0
2024;CARMEN ZANOTTO;2;2;200010,0;0,0;0,0
2024;DANIEL FREITAS;1;1;1005585,0;0,0;0,0
2024;DANIELA REINEHR;1;1;100000,0;0,0;0,0
2024;GILSON MARQUES;1;1;20,0;0,0;0,0
2024;IVETE DA SILVEIRA;2;1;600000,0;0,0;0,0
2024;JORGE GOETTEN;1;1;300000,0;0,0;0,0
2023;ANGELA AMIN;1;1;25,0;0,0;0,0
2023;CARMEN ZANOTTO;1;1;10,0;0,0;0,0
2021;DARIO BERGER;1;1;50,0;0,0;0,0
2021;ROGERIO PENINHA MENDONCA;1;1;50,0;0,0;0,0
