funcao,subfuncao,valor_empenhado,quantidade_documentos,quantidade_parlamentares
28 - Encargos especiais,845 - Outras transferências,9521585.0,18,13
15 - Urbanismo,244 - Assistência comunitária,4775000.0,1,1
05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,4668349.85,63,1
05 - Defesa nacional,301 - Atenção básica,4448480.41,60,1
17 - Saneamento,512 - Saneamento básico urbano,2935977.37,4,1
12 - Educação,365 - Educação infantil,2425735.81,12,1
23 - Comércio e serviços,695 - Turismo,1912356.0,1,1
10 - Saúde,302 - Assistência hospitalar e ambulatorial,1729552.2,7,5
15 - Urbanismo,451 - infra-estrutura urbana,1528418.81,2,2
08 - Assistência social,244 - Assistência comunitária,319428.0,1,1
12 - Educação,368 - Educação básica,230990.91999999998,5,2
27 - Desporto e lazer,812 - Desporto comunitário,200000.0,1,1
12 - Educação,363 - Ensino profissional,28360.300000000003,13,1
04 - Administração,122 - Administração geral,15625.32,11,1
06 - Segurança pública,122 - Administração geral,3500.64,1,1
20 - Agricultura,122 - Administração geral,330.98,1,1
27 - Desporto e lazer,811 - Desporto de rendimento,0.0,1,1
