sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;nm_regiao;qt_votos_nom_validos
SC;ITAJAÍ;Vereador;27122;DANIELLE CERUTI RENAULT;DC;DC;1;Não eleito;13;81612;240001939712;2045202024;SUL;15
SC;ITAJAÍ;Vereador;45222;ANDRE LEONARDO SEVERINO;PSDB;Federação PSDB CIDADANIA(PSDB/CIDADANIA);1;Suplente;13;81612;240001904949;2045202024;SUL;1041
SC;ITAJAÍ;Vereador;10800;ALINE RITA DE BARROS;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240001960685;2045202024;SUL;306
SC;ITAJAÍ;Vereador;10456;LUCIANA RAQUEL DIAS FRONZA;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240001960676;2045202024;SUL;101
SC;ITAJAÍ;Vereador;10010;ERNANDO JOÃO ALVES JUNIOR;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240001960671;2045202024;SUL;1126
SC;ITAJAÍ;Vereador;33453;SEBASTIÃO FIRMO GOMES;MOBILIZA;MOBILIZA;1;Não eleito;13;81612;240002169785;2045202024;SUL;28
SC;ITAJAÍ;Vereador;33369;ELISABETE DE MENDONÇA DIAS FRASSON;MOBILIZA;MOBILIZA;1;Não eleito;13;81612;240002169786;2045202024;SUL;44
SC;ITAJAÍ;Vereador;44110;GISELE ALESSANDRA MARTINS;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974267;2045202024;SUL;147
SC;ITAJAÍ;Vereador;15444;OSMAR PAUSCO RAYMUNDO JUNIOR;MDB;MDB;1;Suplente;13;81612;240002076429;2045202024;SUL;1018
SC;ITAJAÍ;Vereador;15111;LAÍSE CÁSSIA GARCIA;MDB;MDB;1;Suplente;13;81612;240002385117;2045202024;SUL;17
SC;ITAJAÍ;Vereador;15777;SUEVERTON JOÃO DE AQUINO;MDB;MDB;1;Suplente;13;81612;240002076433;2045202024;SUL;1675
SC;ITAJAÍ;Vereador;36222;GERALDO ELIAS;AGIR;AGIR;1;Não eleito;13;81612;240001944211;2045202024;SUL;578
SC;ITAJAÍ;Vereador;36036;VANTOS MARTINS DOS SANTOS;AGIR;AGIR;1;Não eleito;13;81612;240001944221;2045202024;SUL;581
